ID,name,category,gender,follower_count,platform
1,Thomas Moore,Parenting,Other,728469,YouTube
2,Donna Carlson,Parenting,Female,389881,YouTube
3,Ryan Stone,Fitness,Other,55720,Twitter
4,Sherri Fernandez,Health,Male,574610,Instagram
5,Nicholas Miller,Fitness,Male,677404,YouTube
6,Diane Wiley,Parenting,Male,218498,Instagram
7,Benjamin Preston,Fitness,Male,739140,TikTok
8,Maria Thompson,Lifestyle,Male,888321,Twitter
9,Alexander Cox,Parenting,Male,844370,Instagram
10,Robert Rowland,Health,Female,11310,Twitter
11,Justin Lozano,Lifestyle,Male,715918,Instagram
12,Kimberly Oconnor,Health,Other,718597,TikTok
13,Nicole Diaz,Health,Female,407890,Twitter
14,Laura House,Fitness,Male,425056,Twitter
15,Theresa Parsons,Fitness,Male,768966,Instagram
16,Brandon Thompson,Lifestyle,Other,626678,Instagram
17,Rhonda Weeks,Health,Female,226513,YouTube
18,David Foley,Lifestyle,Other,692372,Twitter
19,Jared Reyes,Lifestyle,Other,450712,TikTok
20,Melissa Wall,Lifestyle,Male,289836,TikTok
21,Tony Green,Parenting,Male,916402,TikTok
22,Thomas Harris,Health,Other,433015,Instagram
23,Gerald Willis,Parenting,Other,622323,Instagram
24,Ian Harris,Parenting,Male,451506,TikTok
25,Antonio Walker,Health,Male,438337,YouTube
26,Kim Shea,Parenting,Other,480813,Twitter
27,Cameron Foley,Parenting,Male,560158,Twitter
28,Kenneth Maynard,Health,Female,896300,Instagram
29,James Ramos,Parenting,Male,288936,YouTube
30,Deborah Singh,Lifestyle,Male,240474,Twitter
31,Robert Jordan,Lifestyle,Male,756980,Twitter
32,Rebecca Fuller,Lifestyle,Female,392264,Instagram
33,Christopher Arias,Fitness,Male,518015,TikTok
34,Alan Richardson,Fitness,Female,977927,Instagram
35,Karen Davenport,Parenting,Female,851522,YouTube
36,Peter Wright,Health,Other,143955,TikTok
37,Lindsay Roberts,Health,Other,737931,Twitter
38,Alicia Pollard,Parenting,Other,934405,YouTube
39,Justin Lee,Parenting,Female,956666,YouTube
40,Paul Conner MD,Health,Female,499017,Twitter
41,Paul Smith,Health,Other,241051,YouTube
42,Jodi Martin,Fitness,Female,934127,TikTok
43,Samuel Anderson,Parenting,Female,419924,Twitter
44,Jerry Stewart,Fitness,Other,463993,TikTok
45,Lisa Wilson,Lifestyle,Female,669433,TikTok
46,Vanessa Parker,Health,Male,636418,Twitter
47,Anne Caldwell,Lifestyle,Female,98548,Instagram
48,Randy Cox,Health,Male,549044,TikTok
49,James Blackwell,Health,Male,781480,TikTok
50,Ethan Carney,Fitness,Other,48723,Instagram
51,Michael Kelly,Fitness,Other,687271,Instagram
52,Jesse Flores,Health,Other,530995,Instagram
53,Larry Fischer,Lifestyle,Other,889353,Twitter
54,Joseph Lopez,Parenting,Female,810897,TikTok
55,David Willis,Lifestyle,Male,413234,Twitter
56,Rhonda Boyd,Health,Male,314252,YouTube
57,Cynthia Russell,Lifestyle,Male,824947,YouTube
58,Tammy Anderson,Fitness,Female,804375,YouTube
59,Gregory Kim,Parenting,Female,980440,Twitter
60,Jeffery Bennett,Parenting,Other,718891,Twitter
61,Phillip Thompson,Health,Female,745419,Instagram
62,Jessica Yoder,Fitness,Male,884933,Instagram
63,Paul Cruz,Health,Male,802445,Instagram
64,Jennifer Thomas,Parenting,Other,928375,Twitter
65,Thomas Thomas,Health,Male,329531,TikTok
66,Cory Olsen,Fitness,Male,513305,Instagram
67,David Hawkins,Fitness,Female,842516,YouTube
68,Lisa Henry,Health,Male,360583,TikTok
69,Sandra Johnson,Fitness,Female,675774,YouTube
70,Angelica Smith,Health,Other,138158,Twitter
71,Robert Kent,Health,Female,123907,YouTube
72,Ryan Griffin,Health,Other,433964,Instagram
73,Misty Dunn,Fitness,Female,577682,Twitter
74,Daniel Lewis,Fitness,Male,656297,TikTok
75,Daryl Tran,Lifestyle,Male,670062,YouTube
76,Sarah Norman,Fitness,Female,812817,YouTube
77,Thomas Duke,Lifestyle,Female,741596,YouTube
78,Richard Douglas,Lifestyle,Male,910699,YouTube
79,Shawn Norton,Lifestyle,Male,646983,TikTok
80,Kelsey Cantrell,Parenting,Female,770555,YouTube
81,Jake Proctor,Parenting,Male,293021,TikTok
82,Alejandro Lang,Fitness,Other,955483,Instagram
83,Susan Hardy,Parenting,Female,105758,Twitter
84,James Bowers,Fitness,Female,256356,TikTok
85,Michael Cowan,Parenting,Other,721029,Twitter
86,Joel Estes,Fitness,Other,667149,Twitter
87,Angela Bryan,Health,Other,521708,Instagram
88,Elizabeth Jackson,Fitness,Female,839176,Twitter
89,Jamie Anderson,Lifestyle,Other,905997,Twitter
90,Monica Gilbert,Fitness,Female,787260,TikTok
91,Dr. Karen Simon,Fitness,Other,505586,Twitter
92,Melanie Watson,Lifestyle,Other,310563,YouTube
93,Tammy Johnson,Lifestyle,Male,667531,YouTube
94,Christine Singh,Parenting,Female,285089,TikTok
95,Katrina Warren,Fitness,Male,792565,TikTok
96,John Velasquez,Fitness,Female,121950,YouTube
97,Joshua Myers,Health,Female,915788,Twitter
98,Renee Allen,Fitness,Other,202511,Twitter
99,John Rios,Lifestyle,Other,548744,Instagram
100,Tina Lee,Health,Female,605659,Twitter
101,Leslie Pace,Health,Female,433393,YouTube
102,Megan Miller,Parenting,Male,813129,YouTube
103,Crystal Rush,Fitness,Other,552032,TikTok
104,Carolyn Howard,Lifestyle,Other,814940,Instagram
105,Joy Burns,Parenting,Male,305739,YouTube
106,Paula Duran,Lifestyle,Female,847260,YouTube
107,Scott Wilson DDS,Health,Other,937843,Twitter
108,Edward Kelley,Health,Other,288223,YouTube
109,Alison Johnson,Fitness,Female,620599,Twitter
110,Melanie Duncan,Fitness,Other,570834,Instagram
111,Jessica Lopez,Fitness,Male,431555,TikTok
112,Ryan Sanchez,Lifestyle,Male,726033,YouTube
113,Lori Adkins,Lifestyle,Female,942824,Twitter
114,Glenn Jones,Lifestyle,Other,830660,Twitter
115,Anna Alvarado,Health,Female,635346,Twitter
116,Tracy Gonzalez,Fitness,Other,900506,Twitter
117,Kristina Hart,Parenting,Female,200986,Instagram
118,Tammy Nguyen,Fitness,Female,346649,Instagram
119,Lisa Diaz,Parenting,Male,732459,Twitter
120,John Cummings,Fitness,Male,329882,TikTok
121,Crystal Nelson,Fitness,Male,462080,Twitter
122,Alan Martin,Health,Other,846856,TikTok
123,Mark Harris,Parenting,Female,424726,YouTube
124,David Newton,Lifestyle,Female,703660,Instagram
125,Lori Rocha,Fitness,Other,162512,Instagram
126,Jerry Moon,Parenting,Other,910531,Instagram
127,Charles Raymond,Parenting,Female,166302,YouTube
128,Deborah Herrera,Lifestyle,Male,300310,YouTube
129,Christine Yang,Health,Female,896211,Twitter
130,Chad Mcgrath,Fitness,Female,512326,TikTok
131,Frederick Bray,Lifestyle,Male,65170,Instagram
132,Anna Meyer,Lifestyle,Female,770851,YouTube
133,Jillian Perez,Health,Other,339595,Twitter
134,Jodi Gonzalez,Parenting,Male,214802,Instagram
135,Patricia Perez,Fitness,Female,813228,TikTok
136,Joshua Cox,Fitness,Female,325411,Twitter
137,James Neal,Fitness,Female,177931,Instagram
138,Adriana Gardner,Parenting,Male,661017,YouTube
139,Megan Jordan,Fitness,Female,145612,Instagram
140,Crystal Howard,Fitness,Female,417778,YouTube
141,Jeremy Mcclure,Fitness,Other,715881,YouTube
142,Wanda Huber,Lifestyle,Female,857709,Twitter
143,Devin Kerr,Health,Other,593385,Instagram
144,Teresa White,Parenting,Female,82356,TikTok
145,Christopher Butler,Fitness,Male,996451,YouTube
146,Marcus Dean,Parenting,Male,686914,Instagram
147,Justin Thomas,Lifestyle,Other,479364,YouTube
148,Bradley Lee,Health,Other,561593,Twitter
149,William Powell,Lifestyle,Male,432856,TikTok
150,Joshua Wu,Lifestyle,Female,100464,Twitter
151,Taylor Prince,Health,Male,123693,YouTube
152,Julie Gibbs,Lifestyle,Other,575725,Twitter
153,Nicole Valdez,Parenting,Male,12291,YouTube
154,Lori Mason,Health,Other,982332,YouTube
155,Vanessa Walker,Health,Female,424422,YouTube
156,Manuel Anderson,Fitness,Other,54899,Twitter
157,Gary Miller,Fitness,Female,678055,TikTok
158,Brian Lopez Jr.,Parenting,Other,214190,TikTok
159,Jennifer Glass,Fitness,Male,901926,TikTok
160,William Myers,Fitness,Female,618308,YouTube
161,Jessica Ware,Lifestyle,Female,310073,Twitter
162,Michael Fowler,Health,Female,497075,Twitter
163,Lori Russo,Lifestyle,Female,611703,YouTube
164,Andrea Hansen,Health,Other,627328,YouTube
165,Nathan Taylor,Fitness,Female,582577,YouTube
166,Alan Delgado,Lifestyle,Female,113252,Twitter
167,Joseph Carter DDS,Health,Other,234409,YouTube
168,Andrew Harris,Health,Other,11350,YouTube
169,Olivia Christensen,Lifestyle,Female,909480,TikTok
170,Michael Poole,Parenting,Female,256132,Instagram
171,Steven Bryant,Health,Other,377146,Twitter
172,Jordan Cunningham,Lifestyle,Male,355553,YouTube
173,Jason Mitchell,Fitness,Female,578885,Instagram
174,Brittany Castaneda DDS,Lifestyle,Male,963139,TikTok
175,Stephen Williams,Parenting,Other,980221,Instagram
176,Dana Bailey,Fitness,Male,975132,Twitter
177,Michelle Robinson,Lifestyle,Other,199889,Instagram
178,Leslie White,Parenting,Other,36223,Instagram
179,Carly Greene,Lifestyle,Other,715534,Instagram
180,Lisa Williams,Lifestyle,Male,975687,Instagram
181,Kimberly Brock,Lifestyle,Other,555895,TikTok
182,Alejandro Daniel,Lifestyle,Other,937918,Instagram
183,Jamie Oconnor,Fitness,Other,468700,YouTube
184,Matthew Green,Parenting,Male,269008,YouTube
185,Sara Cisneros,Health,Female,579665,Twitter
186,David Kramer,Health,Female,851228,YouTube
187,Andrea Williams,Lifestyle,Female,512557,Twitter
188,Tyler Aguilar,Fitness,Female,397563,YouTube
189,Mary Wallace,Lifestyle,Female,815195,TikTok
190,William Avila,Parenting,Male,581040,TikTok
191,Chad Watson,Lifestyle,Male,941493,TikTok
192,Mitchell Carpenter,Fitness,Female,607290,YouTube
193,David Barajas,Fitness,Female,787071,YouTube
194,Kayla Buchanan,Health,Other,25201,Twitter
195,Jason Santiago,Lifestyle,Other,137746,TikTok
196,Debbie Evans,Health,Female,696920,TikTok
197,Ricky Baker,Fitness,Female,991190,YouTube
198,Teresa Morris,Fitness,Other,753043,Twitter
199,Jessica Brown,Health,Female,916331,Twitter
200,Courtney Wolf,Fitness,Other,960761,YouTube
201,Alejandro Lucas,Parenting,Female,291119,YouTube
202,Jacob Vaughn,Parenting,Other,71184,Twitter
203,April Ward,Parenting,Male,112284,YouTube
204,Mary Schaefer,Parenting,Other,322601,YouTube
205,Maria Manning,Fitness,Female,246748,YouTube
206,James Garza,Lifestyle,Other,574885,Instagram
207,Samuel Potter,Health,Other,270951,TikTok
208,Tricia Bailey,Fitness,Male,831898,TikTok
209,Connie Mckinney,Lifestyle,Female,160296,YouTube
210,Kevin Long,Parenting,Female,344670,YouTube
211,John Jones,Fitness,Other,67516,TikTok
